t,x_follower,v_follower,a_follower,x_leader,v_leader,a_leader,leader_length,spacing,dv
1.0,0.0,0.01,0.04444443999999997,2.342737386404727,0.014545455,0.010101009999999985,0.0,2.342737386404727,-0.004545455
1.1,0.0014421377700948312,0.014444444,-0.004545455000000101,2.344242436954727,0.015555556,-0.01363636500000004,0.0,2.342800299184632,-0.0011111119999999992
1.2,0.0027542124187203143,0.009090909,-0.03333333000000006,2.345611123854727,0.011818182,0.01666666499999986,0.0,2.3428569114360065,-0.0027272730000000005
1.3,0.004333095084208427,0.007777778,0.01818182000000009,2.347146477404727,0.018888889,0.018181814999999907,0.0,2.3428133823205184,-0.011111111
1.4,0.005366886910340263,0.012727273,1.0408340855860843e-16,2.348863649104727,0.015454545,-0.022222225000000026,0.0,2.3434967621943867,-0.0027272719999999993
1.5,0.005618936658602358,0.007777778,-0.022727274999999977,2.350358598554727,0.014444444,-0.031818179999999974,0.0,2.3447396618961247,-0.006666666000000001
1.6,0.006637851908946946,0.008181818,0.0,2.351535366204727,0.009090909,1.249000902703301e-16,0.0,2.34489751429578,-0.000909090999999999
1.7,0.007809797070432278,0.007777778,0.01818181999999994,2.3527121338547268,0.014444444,0.03636363500000003,0.0,2.3449023367842945,-0.006666666000000001
1.8,0.009355187329027626,0.011818182,0.005555554999999927,2.3542525378547268,0.016363636,-0.005555555000000045,0.0,2.344897350525699,-0.004545454000000001
1.9,0.01079538572004779,0.008888889,-8.326672684688674e-17,2.355737386304727,0.013333333,0.004545454999999393,0.0,2.344942000584679,-0.004444443999999999
2.0,0.012316049532786977,0.011818182,0.0,2.357267689304727,0.0172727269999999,-0.01111110999999998,0.0,2.34495163977194,-0.005454544999999901
2.1,0.013784819968834405,0.008888889,0.0,2.358686881204727,0.011111111,-0.031818179999999474,0.0,2.3449020612358926,-0.0022222219999999994
2.2,0.014782086829822294,0.011818182,-1.3877787807814457e-16,2.3597878913047268,0.010909091,0.011111110000000056,0.0,2.3450058044749045,0.0009090910000000008
2.3,0.015978352666878415,0.008888889,-0.03181818500000003,2.361000012504727,0.013333333,0.02727272500000004,0.0,2.3450216598378484,-0.004444443999999999
2.4,0.017688218810706147,0.005454545,0.0,2.362484860954727,0.016363636,0.022222224999999998,0.0,2.3447966421440207,-0.010909091000000001
2.5,0.02022160502178938,0.008888889,0.06363636499999994,2.364191931654727,0.017777778,-0.01818181499999999,0.0,2.3439703266329377,-0.008888889
2.6,0.021252021410834043,0.018181818,0.016666664999999976,2.365717184204727,0.012727273,-0.044444444999999964,0.0,2.344465162793893,0.005454544999999998
2.7,0.021630252199836164,0.012222222,-0.0272727249999999,2.366797992304727,0.008888889,0.009090910000000216,0.0,2.3451677401048907,0.003333332999999999
2.8,0.02276801818658747,0.012727273,-0.005555554999999948,2.367969709504727,0.014545455,-0.016666664999999695,0.0,2.3452016913181395,-0.0018181819999999998
2.9,0.023820124451854774,0.011111111,0.013636359999999986,2.368974760054727,0.005555556,-0.004545455000000004,0.0,2.345154635602872,0.005555555
3.0,0.024710725826881053,0.015454545,-0.016666664999999983,2.369934356054727,0.013636364,0.011111109999999993,0.0,2.3452236302278457,0.0018181810000000003
3.1,0.025569528739791902,0.007777778,-0.013636359999999986,2.371005063154727,0.007777778,0.009090904999999996,0.0,2.345435534414935,0.0
3.2,0.02679074881423782,0.012727273,0.033333329999999974,2.372166679304727,0.015454545,-0.005555555000000885,0.0,2.3453759304904893,-0.0027272719999999993
3.3,0.027474834179561647,0.014444444,0.022727269999999522,2.373272739904727,0.0066666669999999,-0.02272727000000032,0.0,2.3457979057251652,0.007777777000000101
3.4,0.027607876212389915,0.0172727269999999,-0.011111109999999993,2.374151527804727,0.010909091,0.016666665000000483,0.0,2.346543651592337,0.006363635999999902
3.5,0.02752722597402002,0.012222222,-0.01818181499999949,2.3751969823547268,0.01,0.009090909999999994,0.0,2.3476697563807067,0.0022222219999999994
3.6,0.028567885240169844,0.013636364,-0.00555555499999999,2.376333346004727,0.012727273,0.0,0.0,2.347765460764557,0.000909090999999999
3.7,0.029666749531878978,0.011111111,0.009090905000000149,2.377469709654727,0.01,-0.018181819999999994,0.0,2.347802960122848,0.0011111109999999997
3.8,0.030604329825395293,0.015454545,2.0122792321330962e-16,2.378424255104727,0.009090909,0.005555554999999948,0.0,2.3478199252793317,0.006363636000000001
3.9,0.03242676709149217,0.011111111,-0.02272726999999998,2.379434356104727,0.011111111,0.02727272999999998,0.0,2.3470075890132347,0.0
4.0,0.03396650454303929,0.010909091,-0.0055555550000000314,2.380717184404727,0.014545455,-0.022222220000000792,0.0,2.3467506798616875,-0.0036363640000000013
4.1,0.03495929923772634,0.01,0.03636363499999957,2.381777790504727,0.0066666669999999,-0.01818182000000053,0.0,2.3468184912670007,0.0033333330000001006
4.2,0.03582969598774888,0.018181818,0.03888888999999959,2.382656578404727,0.010909091,-3.8163916471489756e-16,0.0,2.3468268824169782,0.007272727
4.3,0.03671695422931531,0.017777778,-0.013636364999999886,2.3835353663047267,0.0066666669999999,0.02272726999999941,0.0,2.3468184120754114,0.0111111110000001
4.4,0.0371529989930659,0.015454545,-0.03333333500000007,2.384641426904727,0.015454545,0.022222219999999897,0.0,2.347488427911661,0.0
4.5,0.038140159974095145,0.011111111,0.0,2.3859697097047268,0.011111111,-0.03181818000000012,0.0,2.3478295497306316,0.0
4.6,0.039094544412052734,0.015454545,0.00555555500000033,2.386979810704727,0.009090909,0.02777777999999955,0.0,2.3478852662926744,0.006363636000000001
4.7,0.040371539632810816,0.012222222,-0.01363635999999982,2.388267689504727,0.016666667,0.013636364999999442,0.0,2.347896149871916,-0.004444445
4.8,0.041596210893894536,0.012727273,0.011111109999999938,2.3896919319547267,0.011818182,-0.044444444999999985,0.0,2.348095721060832,0.0009090910000000008
4.9,0.04192407355610328,0.014444444,-0.009090910000000223,2.390671729954727,0.007777778,0.009090910000000431,0.0,2.348747656398624,0.006666666000000001
5.0,0.04302739476412709,0.010909091,0.0,2.391742437054727,0.013636364,0.04444444500000016,0.0,2.3487150422906,-0.0027272730000000005
