t,x_follower,v_follower,a_follower,x_leader,v_leader,a_leader,leader_length,spacing,dv
1.0,0.0,2.597272727,1.1272727299999985,13.475929285013798,6.824545455,1.498989890000003,0.0,13.475929285013798,-4.227272728
1.1,0.2655839394205053,2.71,1.181818185000001,14.1658787799638,6.974444444,1.4227272700000029,0.0,13.900294840543294,-4.2644444440000004
1.2000000000000002,0.5436272251159426,2.8336363640000006,1.2888888900000026,14.870055547613799,7.109090909,1.3500000000000014,0.0,14.326428322497856,-4.275454544999999
1.3000000000000005,0.8349672038727061,2.9677777780000008,1.381818179999998,15.587732315263802,7.244444444,1.3772727300000014,0.0,14.752765111391096,-4.276666665999999
1.4000000000000004,1.1398915429965992,3.1100000000000003,1.4444444449999985,16.3191818102138,7.384545455,1.5111111149999914,0.0,15.1792902672172,-4.274545454999999
1.5000000000000004,1.4594818890839925,3.256666667000001,1.5136363650000053,17.0657424163138,7.546666667,1.6000000000000085,0.0,15.606260527229807,-4.289999999999999
1.6000000000000003,1.7937187950021283,3.4127272730000007,1.5611111099999988,17.8283030224138,7.704545455000001,1.5222222200000175,0.0,16.03458422741167,-4.291818182
1.7000000000000006,2.1421487946637434,3.568888889000001,1.5272727249999996,18.606085850713804,7.851111111000003,1.3954545449999856,0.0,16.46393705605006,-4.282222222000002
1.8000000000000007,2.5066337329378214,3.7181818180000015,1.444444445000002,19.397823224463803,7.983636364,1.3111111099999988,0.0,16.89118949152598,-4.265454545999998
1.9000000000000008,2.884826747731598,3.8577777780000018,1.3681818200000002,20.202671709313805,8.113333333000003,1.2727272700000043,0.0,17.317844961582207,-4.255555555000002
2.000000000000001,3.2772227595252303,3.9918181820000016,1.3999999999999986,21.020247466863804,8.238181818000001,1.3444444450000006,0.0,17.743024707338574,-4.246363636
2.100000000000001,3.6833543351537372,4.137777778000002,1.5227272700000078,21.851267668863805,8.382222222000003,1.4045454549999903,0.0,18.167913333710068,-4.244444444000001
2.200000000000001,4.104403394636776,4.296363636000003,1.6333333299999993,22.696333325413804,8.519090908999999,1.3833333350000032,0.0,18.591929930777027,-4.222727272999996
2.3000000000000007,4.542103276803619,4.464444444000002,1.7454545449999976,23.555232315313802,8.658888889000004,1.3863636350000164,0.0,19.013129038510183,-4.194444445000001
2.400000000000001,4.99770325697455,4.6454545450000015,1.7999999999999972,24.427994941563803,8.796363636,1.4055555549999923,0.0,19.430291684589253,-4.150909090999999
2.5000000000000013,5.4704763076571865,4.824444444000003,1.804545455000003,25.314813123363805,8.940000000000003,1.4318181849999903,0.0,19.84433681570662,-4.115555556
2.6000000000000014,5.961666459223469,5.006363636000003,1.855555559999999,26.21594948701381,9.082727273,1.4277777799999853,0.0,20.25428302779034,-4.0763636369999965
