model,follower_make,follower_position,run,n_train,n_heldout,n_cp_heldout,rmse_full_heldout_sample,rmse_cp_heldout_sample,rmse_full_train_sample,rmse_cp_train_sample,v0_sample,T_sample,a_max_sample,b_sample,s0_sample,rmse_full_heldout_phase,rmse_cp_heldout_phase,rmse_full_train_phase,rmse_cp_train_phase,v0_phase,T_phase,a_max_phase,b_phase,s0_phase
idm,Tesla Model3,2,040719_platoon7,6459,2768,62,3.0821408705647015,3.913187334518261,2.4984932859939692,3.751900540376912,119.96338130425352,0.7849218217570597,3.7234200678004052,14.999844457295644,7.5428469057471625,3.1606527116854175,3.502319309417649,2.839359271388364,3.4119829774248815,119.97509607476985,0.9247492980078608,2.6984026547565096,14.99996987750853,3.691429363554097
idm,BMW X5,3,040719_platoon7,6459,2768,73,2.109356945681429,2.418627406384833,1.7202721975845559,2.4266179239339936,119.9521712900704,0.807930786164446,1.892332418854375,14.996717670440258,5.262593647719831,2.1288116398933177,2.3945857147174636,1.753363300040018,2.3735711044793546,119.984513405477,0.8580235241793573,1.8217648087409717,14.999126548655337,4.286385946949036
idm,Audi A6,4,040719_platoon7,6459,2768,79,2.2646254974502864,2.6348921291115754,1.9870150621747706,2.7492394141010816,56.756742936870985,0.8877890536904781,1.5265747943778816,14.999967521961475,4.810609162191045,2.2781760047824697,2.592179910514748,2.0482901574287773,2.7078916023586928,68.28032103233105,0.9236376382108353,1.5440175091814843,14.999985187798721,4.74922958754363
idm,Mercedes AClass,5,040719_platoon7,6459,2768,88,2.431570154746525,2.5099132438052587,1.8602045922144312,2.191689747702385,55.43523723996445,0.8864540657672345,1.7861876365831393,14.999927619541266,4.362904742628443,2.5137928226561677,2.587842708165105,1.869718798859557,2.180311581072552,58.227886742862026,0.8879889766303576,1.7924548756720589,14.999951771378944,4.2779897397132585
