model,follower_make,follower_position,run,n_train,n_heldout,n_cp_heldout,rmse_full_heldout_sample,rmse_cp_heldout_sample,rmse_full_train_sample,rmse_cp_train_sample,kappa_sample,v_max_sample,s_c_sample,w_sample,lambda_sample,rmse_full_heldout_phase,rmse_cp_heldout_phase,rmse_full_train_phase,rmse_cp_train_phase,kappa_phase,v_max_phase,s_c_phase,w_phase,lambda_phase
fvdm,Tesla Model3,2,040719_platoon7,6459,2768,62,2.5147658140886935,3.016571149001481,2.1055039057796114,3.054293853196412,0.10000218400321503,35.971603614604916,21.83587826343055,9.490150944157016,0.42561710659277185,2.800501783222643,3.1795088147314328,2.360436553107287,2.9755522950047038,0.14835465151497762,34.54460884400102,19.862543516691506,12.418802119180725,0.23869660797351822
fvdm,BMW X5,3,040719_platoon7,6459,2768,73,2.691178051301483,3.122742461328727,2.1561577201445825,3.0008559207261976,0.10000125048708686,33.53956134544903,19.868203652888944,7.87651143498659,0.22334024662185126,2.5550928031065108,2.738063256071554,2.3322559925597615,2.851808344465282,0.10000195463463335,34.03027321258005,20.94991294068582,7.318144229098978,0.20027241574241472
fvdm,Audi A6,4,040719_platoon7,6459,2768,79,4.821483131122266,5.681929947928061,3.579401584171623,4.9250521836165735,0.10000051990723557,33.554886155773374,20.02736665348435,13.716977247521154,0.18722713582138972,4.902046387979303,5.51136042045105,3.871077001039142,4.697926128247934,0.10000277466684593,34.568299990130114,21.950892551788748,14.567542835413013,0.1722725956599227
fvdm,Mercedes AClass,5,040719_platoon7,6459,2768,88,3.220740131215602,3.5489811608588995,2.137547141775194,2.5763764251475805,0.12340562272695466,35.59963708424477,19.594600690791953,16.27174461323843,0.2430504326166072,3.125358074362708,3.3741347059253166,2.1951015924980126,2.5264367754181993,0.125235090862035,36.16832927980552,20.455870864786196,16.333623736460275,0.23894944647111416
