group,cell,feature,obs_std_median,weight_median,weight_q25,weight_q75,contrib_frac
reference,"PELT+ | {s_end,dist,phase_speed_ols}",s_end,4.457977752196596,0.05034289593831362,0.026888558398227236,0.10262470189282576,0.8690446003029705
reference,"PELT+ | {s_end,dist,phase_speed_ols}",dist,12.127073565299298,0.006806612694033468,0.0037996000107790584,0.010304703208342755,0.029302900979682817
reference,"PELT+ | {s_end,dist,phase_speed_ols}",phase_speed_ols,2.1640890521612324,0.21356086853905687,0.13290443560576007,0.3726991645919835,0.10165249871734638
feature,{s_end},s_end,4.457977752196596,0.050342895938313606,0.026888558398227246,0.10262470189282576,1.0
feature,"{s_end,dist}",s_end,4.457977752196596,0.05034289593831362,0.026888558398227236,0.10262470189282576,0.9672363048764386
feature,"{s_end,dist}",dist,12.127073565299298,0.006806612694033468,0.0037996000107790584,0.010304703208342755,0.03276369512356148
feature,"{s_end,phase_speed_ols}",s_end,4.457977752196596,0.05034289593831362,0.026888558398227236,0.10262470189282576,0.8952086324788372
feature,"{s_end,phase_speed_ols}",phase_speed_ols,2.1640890521612324,0.21356086853905687,0.13290443560576007,0.3726991645919835,0.10479136752116278
feature,{v_end},v_end,2.1401315276868447,0.2183357827486856,0.1354076830729683,0.34952482457832584,1.0
feature,"{v_end,s_end}",v_end,2.1401315276868442,0.21833578274868565,0.1354076830729683,0.34952482457832584,0.11917732892908574
feature,"{v_end,s_end}",s_end,4.457977752196596,0.05034289593831362,0.026888558398227236,0.10262470189282576,0.8808226710709148
feature,"{v_end,s_end,dist,phase_speed_ols}",v_end,2.1401315276868442,0.21833578274868565,0.1354076830729683,0.34952482457832584,0.10477094344788232
feature,"{v_end,s_end,dist,phase_speed_ols}",s_end,4.457977752196596,0.05034289593831362,0.026888558398227236,0.10262470189282576,0.7784693487009227
feature,"{v_end,s_end,dist,phase_speed_ols}",dist,12.127073565299298,0.006806612694033468,0.0037996000107790584,0.010304703208342755,0.026183050425311858
feature,"{v_end,s_end,dist,phase_speed_ols}",phase_speed_ols,2.1640890521612324,0.21356086853905687,0.13290443560576007,0.3726991645919835,0.09057665742588332
feature,"{s_end,dist,phase_speed_ols,duration}",s_end,4.457977752196596,0.05034289593831362,0.026888558398227236,0.10262470189282576,0.8690446003029705
feature,"{s_end,dist,phase_speed_ols,duration}",dist,12.127073565299298,0.006806612694033468,0.0037996000107790584,0.010304703208342755,0.029302900979682817
feature,"{s_end,dist,phase_speed_ols,duration}",phase_speed_ols,2.1640890521612324,0.21356086853905687,0.13290443560576007,0.3726991645919835,0.10165249871734638
feature,"{s_end,dist,phase_speed_ols,duration}",duration,1.8251065678497338,0.3004057064594541,0.17584464650146409,0.5035683056904421,0.0
anchor,uniform-K,s_end,4.442854458776349,0.05066823191637207,0.025255303765626118,0.1138942123158308,0.8368983665289473
anchor,uniform-K,dist,7.3870047925403775,0.01832657676166531,0.011414664801979255,0.030255421737239913,0.07778833859786774
anchor,uniform-K,phase_speed_ols,2.169687817390581,0.21247855388248477,0.1334060155742139,0.34544640633309964,0.0853132948731849
anchor,random-K,s_end,4.235350944489365,0.05574805627282681,0.02429694898950692,0.1106998686975183,0.8857427618733643
anchor,random-K,dist,15.048637438539519,0.004415797855671769,0.0029573395353972983,0.007338034521866652,0.023949458235151457
anchor,random-K,phase_speed_ols,2.1554822937252758,0.21524069431874782,0.13964390027876297,0.33197386107235793,0.09030777989148454
