model,follower_make,follower_position,run,n_train,n_heldout,n_cp_heldout,rmse_full_heldout_sample,rmse_cp_heldout_sample,rmse_full_train_sample,rmse_cp_train_sample,kappa_sample,v_max_sample,s_c_sample,w_sample,rmse_full_heldout_phase,rmse_cp_heldout_phase,rmse_full_train_phase,rmse_cp_train_phase,kappa_phase,v_max_phase,s_c_phase,w_phase
ovm,Tesla Model3,2,040719_platoon7,6459,2768,62,3.2728984921415596,4.0854746293579005,2.525758036842691,3.697699255377701,0.3400540523801465,46.16538875699574,24.197038953454232,20.07872136649428,3.5621923878186728,3.8917627287867718,2.941198247974897,3.3027950662092764,0.28368073971196606,49.999331772473134,18.46793520498271,35.37133860699114
ovm,BMW X5,3,040719_platoon7,6459,2768,74,2.212246499105603,2.642473253031523,2.567208025254674,3.6662159026803995,0.19394558025121333,35.09938675195382,19.07667874000215,14.21680788519921,2.381822003065546,2.8299127325835833,2.6944158537389717,3.533872806944381,0.17674022506701426,36.54774347566087,20.2162070393642,15.399945745032841
ovm,Audi A6,4,040719_platoon7,6459,2768,79,4.059600689369708,4.371898314456824,4.229374523966201,5.702320009624148,0.23499602319479473,35.089858833051366,14.454151715441402,25.673328522953724,4.307454722912659,4.57085845111617,4.3478209847858516,5.615471358782686,0.22776354830150725,35.88031978474622,16.24164335043944,26.50536471255135
ovm,Mercedes AClass,5,040719_platoon7,6459,2768,88,3.400210375287658,3.517770142373397,2.7640877010111184,3.227830577725877,0.2896243060237922,37.48658430835613,14.579249036907832,27.352827262406528,3.420148667710448,3.538231178906736,2.773325888022067,3.2151321901061873,0.2787592924690825,38.38135005449886,14.766871307575995,28.474575121217125
