run,position,make,A_ptp_obs_ms,A_std_obs_ms,gamma_obs,mean_speed_ms,window_start_s,window_len_s,A_ptp_sample_ms,gamma_sample,A_ptp_segment_ms,gamma_segment
040719_platoon7,1,Audi A8,14.190000000000001,5.438988578306526,,20.003059680158334,646.9,120.00000000002728,14.190000000000001,,14.190000000000001,
040719_platoon7,2,Tesla Model3,16.4509091,5.76445667298152,1.1593311557434813,20.038985100783332,646.9,120.00000000002728,14.855639613116331,1.0469090636445617,15.186086030510998,1.0701963375976742
040719_platoon7,3,BMW X5,21.022222220000003,6.078746612128589,1.2778760184140827,20.05822112734167,646.9,120.00000000002728,18.520226816828675,1.2466798669830956,20.539313481961912,1.3525087004443095
040719_platoon7,4,Audi A6,23.491515152999995,6.466988335885446,1.1174610803348264,20.044686271958334,646.9,120.00000000002728,22.88743719751742,1.2358076077513487,24.64879991412725,1.200079055016828
040719_platoon7,5,Mercedes AClass,26.127272723999997,6.869856032730288,1.1122004074166072,20.068575251935,646.9,120.00000000002728,28.2885334295244,1.235985190713831,29.425831381857996,1.1938038153732926
