pair_id,follower_make,follower_position,objective,regime_agreement,cp_precision,cp_recall,cp_timing_mae_s,n_cp_obs,n_cp_sim
040719_platoon7_f2,Tesla Model3,2,sample,0.8352601156069365,0.35714285714285715,0.3488372093023256,0.3133333333333212,43,42
040719_platoon7_f2,Tesla Model3,2,segment,0.8414017341040463,0.3076923076923077,0.27906976744186046,0.3000000000000019,43,39
040719_platoon7_f3,BMW X5,3,sample,0.8706647398843931,0.3076923076923077,0.3333333333333333,0.26250000000002416,48,52
040719_platoon7_f3,BMW X5,3,segment,0.8562138728323699,0.38,0.3958333333333333,0.25789473684211006,48,50
040719_platoon7_f4,Audi A6,4,sample,0.8464595375722543,0.16129032258064516,0.18518518518518517,0.2800000000000068,54,62
040719_platoon7_f4,Audi A6,4,segment,0.8226156069364162,0.09836065573770492,0.1111111111111111,0.28333333333335986,54,61
040719_platoon7_f5,Mercedes AClass,5,sample,0.7745664739884393,0.19642857142857142,0.19298245614035087,0.38181818181819627,57,56
040719_platoon7_f5,Mercedes AClass,5,segment,0.7850433526011561,0.16666666666666666,0.15789473684210525,0.32222222222223235,57,54
